KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
EL71503510,,SENSOR FOC,,-,SICK/10~30V DC,-,ITALY/MARZOLI/FT6E,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,TRAVERSE/-,-,SCHLAFHORST/-/-,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,UPPER END/-,-,SCHLAFHORST/-/-,KTM-MNSTR,1.00
EL71503600,,CAPACITOR,,-,-/1.2UF,-,-,KTM-MNSTR,24.00
EL71503600,,CAPACITOR,,-,-/1.6UF,-,-,KTM-MNSTR,12.00
EL71503600,,CAPACITOR,,-,-/10UF,-,-,KTM-MNSTR,10.00
EL71503600,,CAPACITOR,,-,-/10UF-400V,-,FUJI/-/-,KTM-MNSTR,40.00
EL71503600,,CAPACITOR,,-,-/2.5UF-220V,-,FUJI/-/-,KTM-MNSTR,49.00
EL71503600,,CAPACITOR,,-,-/4.5UF- 220V,-,FUJI/-/-,KTM-MNSTR,8.00
EL71503600,,CAPACITOR,,-,-/500UF-500W,-,-,KTM-MNSTR,8.00
EL71503600,,CAPACITOR,,-,-/50UF-450V AC-50\60HZ,-,-,KTM-MNSTR,4.00
EL71503600,,CAPACITOR,,-,-/6.5UF-450V AC-50\60HZ (+\-5%),-,-,KTM-MNSTR,2.00
EL71503600,,CAPACITOR,,-,-/7.5UF,-,FUJI/-/-,KTM-MNSTR,3.00
EL71503600,,CAPACITOR,,-,-/80UF,-,-,KTM-MNSTR,2.00
EL71503600,,CAPACITOR,,-,1.5UF-220V,-,FUJI/-/-,KTM-MNSTR,8.00
EL71503600,,CAPACITOR,,-,"ELECTROLYTIC/2400UF, 400V, 2PIN, 105øC",-,-,KTM-MNSTR,2.00
EL71503600,,CAPACITOR,,-,"ELECTROLYTIC/4700UF, 400V, 2PIN, 105øC",-,-,KTM-MNSTR,6.00
EL71503600,,CAPACITOR,,-,SH LIGHT KCD-G400-220/240V,-,-,KTM-MNSTR,1.00
EL71503620,,CAPACITOR FOC,,-,-/3UF-450V,-,CHINA/-/B 9589,KTM-MNSTR,2.00
EL71503620,,CAPACITOR FOC,,-,-/4UF-450V,-,CHINA/-/B 9589,KTM-MNSTR,4.00
EL71503710,,BRUSH CARBON FOC,,-,-,-,-,KTM-MNSTR,1.00
EL71503710,,BRUSH CARBON FOC,,-,-/D4X15,-,-,KTM-MNSTR,13.00
EL71503750,,BRUSH CARBON,,-,D4X15NR.K 33/-,-,-,KTM-MNSTR,16.00
EL71503750,,BRUSH CARBON,,-,FOR SERVO MOTOR/-,-,-,KTM-MNSTR,6.00
EL71503800,,SHEET,,PLASTIC,"BOARD/4""X4""",-,-,KTM-MNSTR,4.00
EL71503800,,SHEET,,PLASTIC,"BOARD/4""X9""",-,-,KTM-MNSTR,2.00
EL71504000,,PLUG,,-,CV MALE-FEMALE/24PIN,-,-,KTM-MNSTR,6.00
